N,P,K,ph,EC,S,Cu,Fe,Mn,Zn,B,label
143.46130165868664,106.54772050181975,299.4687353349395,6.22679190060337,1.4913618428805786,0.014037488014728594,15.937627089711281,255.30017131261502,60.40580074902973,18.94244041220135,1.0278543442421932,ragi
110.48493545998559,93.65433287847515,271.6359193601754,7.836514779009136,1.1789988162137484,0.02454821549308306,21.852283646694204,111.4613684516659,65.60797036385466,21.39502023973472,3.339323611039891,ragi
43.189768154817706,39.27408682909864,55.27920618002639,4.66935674535611,2.3456275067012258,0.07689975291128173,18.36761092222701,47.241471408662264,160.76510419977205,33.35374940741142,22.807596107589685,potato
138.06086253304488,45.01952030443225,216.1916504020749,7.002671204403874,0.9492142319402325,0.12857827664076618,10.212042286711014,123.53828181956811,59.70181791260574,57.37671060260981,47.01081237258553,pomegranate
198.27326463158036,47.678008663337586,57.15097100261464,4.948161106260221,0.12200214621163843,0.10379794846826715,7.795751805044703,64.58779897520306,103.71503697851627,47.896845256186815,35.88410849734412,grapes
96.86301033804796,86.06891449425657,199.42618238331607,6.251280811216684,1.4543953208970246,0.1243080306209162,13.941622747378297,114.26245139964345,71.75726570155211,43.845958154541066,70.30921207036279,mango
176.77970496026595,57.678188177346584,86.85307365200018,5.476927457491444,0.27799915807189124,0.14050824238183204,18.114250580062805,64.32083827446057,36.22190608836815,38.89652775416793,39.828384030142416,grapes
80.81060459690164,23.102158380385056,144.68409572816225,5.921305294933199,1.9264012037930045,0.11362930549425543,19.150634926066715,39.25034272123202,309.3693171059728,32.63305591045451,10.648503662066503,potato
177.4578489308183,65.62346344375037,85.10290919058203,6.39773495881985,0.14899351396124294,0.13100200860172923,13.682945177935233,96.11815361727686,85.27349421590404,38.91406155703878,27.156512433532576,grapes
178.03565292972075,40.7224507465732,191.91024612940066,5.111164197458654,0.6283272353458126,0.2044172096778189,10.288653187693562,71.01585272378767,60.02702856104696,28.294362244663613,27.086077992613394,pomegranate
130.231021795858,23.802817122478896,185.07891086327405,8.341020755233389,0.7752750974229875,0.18845939177479218,16.498909102833323,63.041960232771274,16.57435296611664,26.123529938023125,28.60263053964133,pomegranate
158.18118578813886,41.10360283217658,243.3742232805524,8.586909452941114,0.20826849701012615,0.21050333682250164,15.016289086181937,101.67571898162113,33.74992804787504,47.31761813539025,36.36690403379115,pomegranate
95.04085073574115,22.316372299843056,74.22382201929332,5.887880017323462,1.7392182944339947,0.10653182003390571,24.55888827707618,35.3382824067493,229.9907145534258,32.97176741855678,21.91451185566965,potato
130.5231982046554,92.42491297978833,203.89773810771493,4.77510972362726,0.9231485034341242,0.3848721903816781,16.712354349241938,150.8935997790848,62.18097835243824,54.66460364908829,44.5453393568281,mango
102.03835768925858,61.50412061388423,67.84712385264638,5.666591971146409,0.18752220387711435,0.15958769819755372,5.84336337892401,105.72865818542274,41.215439116031206,30.601113064449816,39.181368456489395,grapes
40.715519935983565,33.98889957254497,160.55472343230824,5.107687650452642,1.66737935391089,0.12160534444790254,10.262597707965789,40.43006817243152,213.95094873869408,53.60273028875051,22.70264783023466,potato
206.68231998322557,56.442477501794755,328.5554911488901,6.314967083049547,1.7047582043166056,0.013136356957737495,21.361762308613397,81.11710182027956,61.20355643152972,20.179130887642323,2.8159475769377997,ragi
162.35551888799571,14.175463042974032,65.57352494462248,8.051523366832344,0.4961992468782986,0.27803954550487636,30.13993691141583,157.03130318091667,685.8780661137191,21.648020608953765,11.169730684868648,mulberry
152.88559887484797,56.3333171898525,53.18837457722625,5.569843729241017,1.369968372233079,0.12624420221914284,16.44579709863251,43.23998540070379,190.5473416934,49.59722633826926,18.6821378698546,potato
100.13346033587351,66.38384731863185,166.34225969386068,6.493631772562246,0.959336276133752,0.22064444605754246,12.451249575773009,112.54968622187779,101.85538021501247,25.683841759790987,43.766695951321516,mango
161.59026506927066,66.79239582304815,244.95918167587647,7.642027647359431,0.3142584221888245,0.16576718674590277,14.987025106393943,64.36422089697245,55.177694251490585,55.03226656700396,27.723435136262204,pomegranate
172.20526392878332,84.22472968071699,256.444552868814,6.731682063222356,0.7533387831031078,0.01969167808945348,14.754854739938843,139.94099655118657,60.34540016034167,32.26931923714451,3.4887521171619067,ragi
166.79269735956973,17.302479681700884,75.62400333824453,6.343936034564458,0.7378525615288852,0.26419558860289405,20.2996853957246,300.3127318086547,266.16222227607284,18.883859118438952,23.494493543918672,mulberry
144.15411577678063,83.31410401607904,177.30746414713,6.435663760911016,0.23820012572578572,0.2560243544636722,20.657195820659215,105.00405200626022,54.582692068434156,31.917029558578303,17.389872033571496,pomegranate
225.1907486520299,57.963096840303955,318.7762854457673,6.081005380622557,0.8963391288725137,0.020176462434256533,17.41601609782362,181.716501329039,70.87420440748073,18.589337354255292,9.100987735977403,ragi
181.0003043828506,50.56540389659173,369.63532334995097,5.666668481257157,1.3024181903838123,0.015587824764935112,14.295617268961575,110.92414532651026,65.46852404868616,23.198795274609292,8.898353603242196,ragi
123.38325469496158,29.644916404710173,95.19652686966106,4.576515003011962,0.14382503249876083,0.17314343034739973,12.396655855375714,70.67923084615313,105.71336860911163,45.00995033326101,60.598174132787776,grapes
144.91393583099637,45.67207827550153,98.5665133121465,5.220726775236282,2.1882568564868965,0.11519881484792883,15.140576026824704,40.836692372586754,264.21048728183945,24.688080425924714,19.06813723721781,potato
114.21137834640213,87.83551628571098,137.52556162949608,5.0702806570890395,0.8274765509422141,0.21806231316633304,10.234744487365614,54.715064393109856,50.916272368119195,47.26873898784593,58.33466133387379,mango
125.51825369296103,19.565346467050464,95.10455933917356,6.830553527475072,0.8256270666726131,0.26505170393953564,19.090420996132515,166.1237934606086,1197.7046453180021,23.061867328144658,22.711429890718097,mulberry
168.84511815646883,22.92265114145637,66.8069533694881,5.6681395352448245,0.31087418106922243,0.31221383972139893,18.731853394693587,262.17927674157426,415.1471363647641,32.66741382371888,10.444204466790362,mulberry
120.12569805482796,58.01956374715718,75.79541983274738,7.263661523927818,0.17114534059487996,0.023107271017025106,17.00303716475974,86.57403368572851,77.54575217783015,30.422504874868356,44.41896813938128,grapes
151.24898733955763,67.6654099669363,186.46717275156493,6.245717550851812,0.8424937066432981,0.16172032270936504,20.17227317187201,108.85375568668013,63.9557971660175,49.340621210967015,31.014960531936442,pomegranate
95.71367688169988,88.55365029945621,117.50497921023145,4.300940932001251,0.5043528141350251,0.2612371059917078,12.74527137378159,114.00865754730711,85.9528478133201,30.385629675197094,74.33509439229111,mango
139.58169134862632,17.15102273155926,175.33390148788433,5.380457756117106,0.389364982624072,0.3420913072389113,12.110621597680641,63.394710586951255,33.30053588625706,22.411463491977305,46.78134402302955,pomegranate
123.76674563771185,55.824671806867826,172.73156172696662,6.166921433815733,0.09703379979956858,0.22870870012618405,16.59730128843157,75.88145389353974,39.80785935518569,32.463392086641996,35.84823995797736,pomegranate
122.9633992958829,65.97883713054973,54.58145519215205,5.665398140546224,0.15951498549629461,0.09782246359990415,26.158941931530777,105.44464370891053,123.09833704014146,32.04067216238993,38.6714770759292,grapes
133.12439822761044,46.2058327606641,87.0786155431261,6.526315909064928,0.11264109413375112,0.023574000478021363,13.020155041950252,81.33587948135884,72.86312237346668,25.00969432130964,32.00649474955537,grapes
136.50601640746322,58.28505748507716,214.1887747771557,7.446284302316441,0.9146593253150777,0.20642613164043142,18.011991017137653,52.87549576856024,58.280383120034955,62.05710562003681,43.154622602704926,pomegranate
72.34354602126204,75.90490071234834,157.90738785716206,6.0084742648609355,1.9980615020373753,0.078916564648081,11.63255739243953,42.052567655634384,48.40136419088909,36.398342602680515,21.02762635099933,potato
37.09115739920917,52.69046407063807,167.37020038144084,6.441067044168344,2.2960030484314493,0.13124470671476954,18.36653581412455,38.193319649026655,88.80328693231763,46.75869710609506,15.12230741938031,potato
139.537198914748,73.0247549145118,173.6353899694962,8.377259542810076,0.36134179204704525,0.14428313086236244,11.798666776059529,98.58039375818053,53.76990091937011,69.82487989337051,23.449421661883903,pomegranate
90.07691156930863,90.5069330663185,154.15908615211197,5.918957429609472,1.4468878774986789,0.3378487330769975,9.361101791923524,121.96897902551989,45.19597354766485,23.30696805411495,63.04193417474951,mango
129.2253438466015,68.80810442097572,319.05073677181434,7.487892663424399,0.8747681715848477,0.0152327237334179,24.23389506494373,233.52382855995307,70.06657182073982,25.057003717376464,7.119411951893833,ragi
161.65336793650656,63.353302645300644,266.5218081810254,5.8828930326234135,0.6532100163540115,0.15797643143624343,11.221556150334946,121.46243078437134,64.50653836184101,43.81402442645959,45.958960234145,pomegranate
147.29840408283505,18.728525738263755,97.86462848053127,5.476659861789674,0.12021156300546491,0.17072674273971383,34.52946939058285,274.34627823261457,829.9001388952156,18.838446151023057,16.95305239607265,mulberry
143.68896046411697,30.269040145120773,217.69420735571384,6.125531125414058,1.3683208162615839,0.09770279570645045,27.607634571081668,40.902459219853974,94.54167777384946,55.95136910866156,18.24629782178024,potato
152.6456250629378,39.00473437279947,95.45805452662447,5.443046326738385,0.15115869206791077,0.1357260747925615,11.828522369487118,81.72898720610156,43.86432481943187,40.75786004510856,30.81913150178378,grapes
159.48411205693873,46.36168589888122,93.39605565281147,7.532912417635344,0.09585967662380317,0.06647586934417679,15.753050774974916,59.14592444787824,118.46026895502429,36.33365748566676,28.356305732370934,grapes
129.65888473228526,41.20718190556183,83.82447922077849,5.501938726431434,0.13947419300333755,0.09279011069921839,17.403261132469233,96.63549068809272,38.1511233347521,37.78665656602146,39.09855008241626,grapes
123.83857271510446,61.21287323871551,137.08173151412205,5.342910999003042,2.355076873616169,0.08445956252611034,15.611402084868343,40.38178116791684,101.61895346189554,46.22312213651393,19.238332682285872,potato
140.38579305072568,59.68143117263052,217.82315103618154,7.636750039881341,1.0521742042655935,0.23058937084477757,23.430145130513154,65.06661055023197,85.92552748874934,39.84725575537156,44.28777769642243,pomegranate
154.80703228001735,26.835757038322292,85.09949526829364,6.703922347865791,0.44374561625797876,0.3294893811958032,21.68637689365731,121.45856192813818,598.2437611803254,20.15950589160834,20.091543821256373,mulberry
132.12580589970696,25.444930752865595,52.36970051930478,6.6876539251107,0.9245548208628521,0.21950495140436008,23.65432379138188,95.95840162538668,535.2923904298343,23.868281198067407,10.720308322018335,mulberry
79.81778890237204,64.2896257989008,182.29580961148315,5.950129354354895,1.0172363284796546,0.3279070779053529,19.789286300277315,88.39218841548382,51.24515952297531,44.1268417299085,50.05507818130865,mango
159.1940568509127,58.417039997260765,174.15355724929051,5.311734865890624,0.5036565631932975,0.23471382797366758,9.495836778736043,59.02047572316652,29.429016931128047,49.13611137670507,47.0530193986398,pomegranate
34.876882672249245,75.72404087354226,112.10482741888026,5.356781587718192,1.6386044829000228,0.08591293098412993,32.848036036370004,37.785043776730646,162.63435972685627,50.19191190805471,23.06501550190692,potato
103.44873394245084,17.83524772849684,77.04756794066107,5.610349718843684,0.28795211061602877,0.17403873862920763,24.06482068707312,211.86830690211966,1238.2682036407543,23.88102918030959,18.523308559071975,mulberry
166.54882319458733,56.28401854194977,75.44959084342888,5.173603748356927,0.18814953862949413,0.15644992912012476,9.366000625356321,86.77906881416669,139.099362547563,38.85453373734942,34.649152400579034,grapes
134.324647030603,88.96964357765464,153.68938464243374,4.840873681405851,0.7696554131719486,0.26949557815122466,10.906671408656209,74.67532935887078,61.80803514532302,35.46832695260313,61.362400753067796,mango
131.53184007241055,72.95755946381581,143.0709043828712,6.027633470842166,0.5563685149152907,0.18965602651489807,12.212780964906045,87.34550594248755,84.89786686567307,55.184696904972235,60.48959156890484,mango
158.318161067654,66.24989623352933,67.76734118745283,6.308223590148609,0.16654928905845848,0.11445214402296794,17.035534061612076,95.03227812913008,98.07389857718745,49.48937827248654,25.198994759089413,grapes
88.70293080831743,69.86197067442842,150.41922183649152,5.510633914666795,1.311783414000311,0.2267186450528668,8.406086035421797,125.66322452293784,66.15958516512431,35.87457569374943,85.63721697891063,mango
115.76550668789068,74.03852095072796,381.1752635365343,4.775830559237676,1.588771213190279,0.010207293176227072,12.055142336815921,87.14428601672289,58.48131526535947,19.522497855781573,2.351605014519753,ragi
153.39710316827438,45.82187031039379,81.2156637936864,7.4304397034234215,0.260021772353459,0.1391445988546091,20.146784744145783,60.6996079539266,38.09525103034317,40.38204224603864,44.267049224340504,grapes
162.00131392522715,82.43994629122243,273.0563035031008,6.727086352106011,0.6728213175550773,0.016998227579141052,17.76545247526922,70.93851573770927,48.872839028560776,17.764596747177617,6.522878413077605,ragi
164.1561420357123,77.62050663910159,211.23544452537286,5.050756015137985,1.7739487992404417,0.12333935087169902,30.807214515487523,42.15446630450598,151.27138725370298,39.33528838468302,26.516679120939504,potato
121.57782594176201,55.39332015265562,83.41614882622524,7.3938681049336825,0.13879292439500795,0.02371118182431959,12.005192939025887,111.05513305629297,92.30693874547694,32.89008254201721,33.350454415184466,grapes
122.60955616967321,99.92265176868337,309.6524357076899,6.345423206108171,1.2243835197747384,0.021907980489334747,10.553312303998357,57.817464762729315,51.095294729517015,23.36955270918025,7.8325246086400115,ragi
138.0960788668487,67.71565505914954,169.32237645592136,5.553696951675239,0.5295291839195395,0.1867189199744262,16.078352501010308,71.98185117451172,55.156781337898806,56.25238367081309,86.49784157696575,mango
132.8029568776397,55.120679489685756,187.96971165901724,8.410281912000874,0.11478087509744331,0.21007444264718275,13.921767795270558,73.13941967873681,32.634112368150625,32.61099005347991,36.35646119354529,pomegranate
158.71257644533733,67.19686509937101,71.05969272366283,5.6076004940023285,0.2360399737547581,0.16620952826674257,9.26860799921961,178.86951688230323,91.94453430309783,39.61486695110126,43.45899306617465,grapes
137.47242640652183,65.30158774603983,83.8670206098864,5.545121920051855,0.22138035361742686,0.053034768379201486,14.535602890214744,70.78247347701374,147.61107260143487,41.5751570756787,35.1117977950407,grapes
110.71787593913717,43.544270790896505,104.52758952789378,6.229541697630445,0.15920109996081977,0.03010906654806627,14.05677836798393,139.54417765921397,50.41428752858336,29.600358343567567,39.45038618657166,grapes
133.95456385473173,37.56161816218916,82.33245495621216,5.9660438972464975,0.20291089949601854,0.07650247368377891,17.7066635266116,94.98910382473095,111.09415268621665,49.34682442654905,25.963699676807302,grapes
201.3106758444476,75.21078893383488,269.4347704294367,9.040380693440982,0.7114285434826632,0.017817266074504987,21.396371342271152,163.47443423771264,57.6972965986448,25.572528004967914,3.536089090350103,ragi
160.79874415706735,72.7634701910901,71.54752527255322,5.228602068317498,1.9504194103297119,0.0872567383561149,18.157787924573476,45.744691932630225,196.0652964040112,39.794188282228305,11.404140534536253,potato
124.16911678104192,26.689482569498885,70.6801915647257,6.00580455817622,0.3161133426918671,0.24842367882809613,17.881717712497558,131.48487189703837,927.2814335200469,26.37846388184686,25.44421171515682,mulberry
158.47761290510172,72.07131811536163,216.72945282878683,5.348358568600098,0.041721310117464605,0.1422296442517567,13.560406819159825,122.49991240196539,48.68596443717591,56.21910568973456,47.83233448310135,pomegranate
100.39289031351397,15.618996625695873,145.98268943406794,6.046318319043633,2.7806441096146357,0.09273539357388373,10.71899003745339,32.39803748045248,110.42585447732925,26.10096527206909,15.97516694950204,potato
137.67800439073088,99.10169393001675,345.1084014682952,7.390499772196486,0.5562916211906781,0.024874044103676284,24.77951205561089,90.85012863995144,69.81565106748542,17.014805873153147,2.448051839131139,ragi
207.75106918405544,36.33551241738138,154.03918673672928,5.027629306812478,2.246739105645428,0.101993783856834,15.329187175060767,42.89747779434417,231.85175076406358,43.25795363847371,15.293608393449045,potato
171.61143881575546,15.59937565161443,68.41002524444121,6.210174193503529,0.9088200031260888,0.3208988919968001,19.73019360263748,253.81589289687466,950.1234967626367,22.0714850108707,12.025651824411346,mulberry
151.4601470452214,24.796737779908057,70.95866387266335,6.44985453156599,0.22810730375399063,0.2793689718676438,25.453110887931206,204.15068607862244,462.1640832910602,31.917455116870496,26.886457983686086,mulberry
141.41122391452745,52.445137885824096,205.17441273529306,4.895056326838658,1.7823460951211016,0.07771112821463912,23.906680740656157,30.08194791433599,264.53928127120554,33.412535961922195,28.73517182290466,potato
148.18502108048497,89.87124647577294,132.83202455163212,5.943152135178067,0.4690954655377279,0.23449903714273368,10.859843794916424,153.21712688969782,91.57181932174841,22.599622357940973,64.62070558747088,mango
148.12235271198733,24.902827510411985,91.39784675830836,5.869645183303575,0.09905361805497986,0.22542591348237923,26.106967423803713,213.8021163498533,1450.0609368239957,22.09414193312901,20.161160566528714,mulberry
119.21187790169938,34.97887957587405,115.68861283770214,6.149395529355807,0.2126066487854089,0.1400340444041237,13.380087862242814,158.1219805756593,113.13865194082939,46.65071748824666,48.37470153448435,mango
100.77147701536414,22.282852036216564,53.99672633519491,5.4513290940468755,1.8397864676010482,0.07022361111356379,26.685848466393715,41.17960805096247,252.09240913794287,30.33220006951119,22.437960567993716,potato
177.19543690316144,71.56931013268094,211.10622410989347,5.482400157962074,0.537503430683627,0.283600157949049,19.421655679101146,101.32929446834088,20.72460777662809,30.612092324716055,22.3410922063477,pomegranate
172.235411012537,32.98581407212168,206.30343052256728,7.762515786559028,1.0772710731832085,0.2686930489622612,11.536765122654373,62.817920086072206,38.11241728074155,79.52905319156761,45.23872586049113,pomegranate
185.32630011397958,52.792375085894655,77.26326473803506,5.3083662908549485,2.4311488079659607,0.11639944430339404,18.27197086140664,33.60220659039081,256.89003142898963,48.96080278347766,26.183708091454253,potato
115.29329832960299,49.36641320397662,244.89691803437745,8.09934230295023,0.6129158668437921,0.19850121601716303,5.840282599521563,60.99400811329557,50.40427113764434,45.109697860509975,29.83816157808427,pomegranate
139.40252538873386,57.91077623255211,107.0213821155086,4.810177610785268,0.1723320140764702,0.014605398142719822,16.39923623049476,58.90030286189884,42.24339531130168,34.477179611089625,42.30895130076598,grapes
154.99160615055143,56.297682642937836,265.68640815286915,7.270269167612468,1.4170089706598077,0.011342195993821514,20.531043778418397,239.64687916934878,61.75934098367252,19.047156727009266,7.942798991938123,ragi
155.61358511440253,70.66316419451198,236.8756832214245,7.077373834161063,0.36385051342990765,0.19821793829932632,14.850771820076469,60.4828092328885,53.600121294359845,60.396292084523694,26.06262737724128,pomegranate
188.5406934598491,22.95319263537003,82.58577059167797,6.041060872698666,0.46747498958763206,0.30965969390115883,34.31251976671742,229.72417440149306,278.14895009446525,22.45499249932376,11.979082335088142,mulberry
186.57823160790966,45.05453676185433,71.50896172170528,6.342586917393751,0.20851514544262756,0.17811789730233962,12.777703301971925,132.05233843733734,104.49336925826756,57.877123050250056,51.165604119957656,grapes
126.03665040298603,66.56897363164768,149.0124099758436,6.025436474281201,2.0602075165403635,0.08258396603630215,23.202117903555255,42.46661724645523,257.24078939825824,31.27767746862131,13.973638802571221,potato
142.53186687482048,62.180421708896446,182.74238740639092,5.5377009963912736,0.4061829157658302,0.30547893670203835,7.401409155482428,60.99212969314201,34.708260642489215,78.25608719500039,18.069350806354816,pomegranate
78.73413352340468,64.01073102281963,200.5959336907725,5.13345148499039,0.8160040555876211,0.3210742637822545,20.73380854677101,83.03195979571194,57.88616469284017,44.53064944503602,58.151857909772914,mango
195.7831481472843,68.08084397739673,400.3130581345788,8.313552122818244,0.8015850587224396,0.01749991864397395,20.047881828810965,237.39644899088188,75.32284041570219,17.91757970191147,9.938124227499435,ragi
190.74908101238682,38.12768233016427,86.31597593274391,5.30328036883106,0.1823140192245174,0.11731752373812497,21.9116285199296,101.95625237799547,92.54023795648752,44.60565267948727,35.99898696040394,grapes
166.42361698046184,52.43758264659049,68.2767002300688,5.854773025231986,0.19661271838358232,0.12632305475114822,18.300559550942314,53.326080306078566,26.478033299631868,34.736569533800505,39.91898673460476,grapes
169.0074848759113,43.337023106684924,98.66926142341569,6.120302451991336,0.12495513148442854,0.10169418275293775,17.993738290716664,144.58834029181082,165.1822292950901,44.64225391716785,47.41805445666058,grapes
151.38950540037126,26.98196353808084,88.57866918144941,5.16954029056754,0.17034316535889432,0.10467587772722846,5.906065916976891,85.90579814385488,65.48240365719913,36.980132797580495,26.12688967491264,grapes
110.94950754020392,49.37449625233388,105.40380183146087,5.172508966615067,0.18017242993038832,0.029700050078930753,15.96083233708789,153.30607097624463,50.4488547731859,32.34179386411124,42.97620186635049,grapes
125.77898414452214,91.84492349515031,216.15734094590738,7.732218074612252,0.6914326168187533,0.22390245512005788,7.7898118906633735,112.5847874229151,100.80963754825713,45.38596578683312,45.83904377531207,mango
110.78958466776614,30.730442650015945,55.70392322418078,5.745998728171588,0.47823702243980115,0.2683676721312167,21.363729640117665,150.08072685587967,366.730086811821,28.12897784115726,17.965617618397992,mulberry
88.84377701826992,77.39386284411071,178.60538548704494,6.775226995464119,1.3382639233849525,0.3117553951320772,16.639864519343053,158.668515307166,95.66512520822398,48.06630976185867,66.96295126461685,mango
110.64260341187874,25.4192485183884,101.41947945623986,5.8239941360440115,0.1389682309926322,0.1942332405787423,21.889438869322824,141.47613030318217,35.00861988526242,39.89550826372725,26.75950519013456,grapes
50.45669364090445,48.34710327167236,130.96139679922857,4.79463250315542,1.7414754553288485,0.09787249230188448,25.866874416011704,45.12932441972109,57.02294795016394,26.802310572381977,11.12134642733687,potato
116.30452881897982,69.24942630913007,80.01058488731913,4.762648831556795,0.10997822446004432,0.22153666267267041,17.33517044009698,135.2634942688671,58.25571075783784,36.84833303002811,38.38449287188134,grapes
124.08388390545544,75.46397288441199,64.40820511739145,6.512052190424951,0.20456063504316574,0.02562075558522885,14.543476337396868,82.43996595161207,38.510987148320176,35.60054585001578,54.25123964579779,grapes
91.98867421802106,68.93624157766973,262.36624636273484,7.646429015475352,0.9795971906454514,0.012388213146841836,18.94616453258934,153.0611923377347,58.85421897114139,27.26517360885275,8.271361666911446,ragi
195.22281238156992,70.84816061057141,173.73853630575368,5.723472327245404,0.6721457392064163,0.19450695640930804,19.760360428981233,85.29079437797084,25.256827740553625,32.790324746760334,47.28480316167722,pomegranate
45.45617551405462,16.279909312566613,205.19279465774102,4.307411760910217,1.839947877163094,0.08159478553206946,29.601771002210693,46.60515297945557,130.3931450100198,34.31546863485613,21.61931335385859,potato
201.80891949629046,16.33903776258109,63.52981809272744,6.186398368690948,0.5985689138954681,0.2646108444538124,30.04577908339663,137.9071551340381,216.18513865527098,32.63976530431492,17.17112039702103,mulberry
120.4529987274617,10.770581539361947,90.28161508359833,6.393990259278216,0.6002184862293087,0.2233721497440097,34.90500234628835,217.625044693601,612.6569462944358,22.780216810786932,17.776706219170276,mulberry
104.94880231547427,20.48005311116971,53.91152581380703,6.644449033150607,0.3217704177884396,0.18612305686804614,23.25336263826278,165.20365157912283,989.4556776064676,21.072875371980352,17.401984900427625,mulberry
186.7878621524339,32.63412151752827,173.3760457031477,6.292139120650347,0.122469134146535,0.2770269640480803,8.256099145207674,67.2964938270364,26.759158680083456,40.52507480908669,13.390803811301222,pomegranate
123.90929485568022,12.153370807176902,102.55204231187692,5.536747955536224,0.4606277258670619,0.2368024089746733,23.718542709851302,312.56016665467524,1377.6151900652687,30.888959192002694,24.94735668397635,mulberry
80.07393339995329,56.5431383490392,99.25519209071187,5.58190950638993,2.076424092892046,0.07488303715950588,15.62724968775027,32.832193607980315,71.67278366350723,46.78729619766911,17.76505316984651,potato
59.14259427773142,71.89201858368452,131.75649948214453,5.081974559949996,1.2471256107044824,0.12067539922927847,21.261328111864938,34.80900056706435,297.80780642010546,27.620593960630355,13.29082739284688,potato
165.08653016155262,51.62409453648577,203.6971609683061,6.179713068402275,0.20398973662961173,0.2668601952975641,8.059936934819293,86.06231449512238,68.17959403183869,24.88042518133338,35.610504313112536,pomegranate
186.15616036944422,72.593966113444,234.46958142929122,3.7179900092410865,0.09172354364877162,0.26629224722185346,20.528225362607287,116.1583046691679,57.7503581824124,68.43861886476402,33.61844344302371,pomegranate
127.65776191407156,88.50388078089279,337.03281712956743,5.98733562430328,1.5230383153158824,0.014855776690937824,12.452011009188437,130.67604606396026,71.14661670285865,17.939486862263223,9.80422084427397,ragi
161.26455330580447,38.676328850610304,240.66478694301185,7.7218313011954915,0.6224575104685645,0.20147390057844972,9.807410378928541,70.61315250344585,53.113619506911206,46.27442001245997,40.84511298613599,pomegranate
30.307514618711526,20.327588174871607,139.9861875733053,5.794019767564923,1.843561113184286,0.073674589068356,27.72232463876814,41.8530557747095,108.46419206876897,20.231178741833634,15.397941602603755,potato
103.93033635185326,77.02031251086976,380.71812847671623,6.619299427571904,0.7948801467024604,0.022076959741593502,14.026108134806615,98.8650447114846,52.736323106791296,25.22506735678728,4.722629267298162,ragi
72.66231509835919,70.64503130383527,187.23037964893368,5.522573749255656,1.2606210244828144,0.2322017179427685,17.35200820642316,58.10698658472251,62.60420368825358,20.116211122380637,65.0461724888233,mango
137.65444174767674,66.55699278391617,195.13178013718786,6.9193872676299115,0.7347733471250121,0.14439523591031547,8.617486115169681,207.9930613408614,51.394058156711154,39.5549199245434,47.904075409382195,mango
121.89506947659062,78.55459059752829,126.3371794767742,6.366816572779668,0.979366904870751,0.388366822078752,18.14537089882415,185.9551557292966,57.484965008173276,28.73396456345376,59.13652144495229,mango
197.11914339508147,52.248493557116056,264.0026926324486,6.751398476549037,1.1681828091160158,0.021263381458767817,13.224268328156803,140.3748417502842,53.61307677937639,29.624279421150796,3.4609691511726552,ragi
125.58171795958312,80.35036184704087,165.3888518696714,5.212785497457318,1.3603238684347747,0.22456360458782265,11.449078056530658,165.1953541072242,65.34036324412227,36.08508296136941,72.2600903919647,mango
152.72752363776112,61.406775860007926,91.0584727394955,4.944116704550483,0.18323204880697547,0.03252052084187689,24.32612829774808,125.50909844931121,74.1301879633401,50.91304421267085,28.67874437747899,grapes
170.8033188729667,68.01126138983663,91.40562473511775,5.460075388352579,0.1593132794333272,0.08203429234345364,7.788650620874206,107.80796570263578,125.44917208653521,39.1450409739786,29.141173253036598,grapes
168.42113163075655,54.016669971495254,186.0161362399133,4.944967405481232,0.35700086546761145,0.2857965518420232,13.953019679506042,121.53384226184983,37.00600526833018,58.75355376734271,15.155464610858274,pomegranate
161.57399979620737,82.50766831710602,208.94724225225812,6.902801629148552,0.5483478474409547,0.22364921624199247,8.357453467386208,94.24045110612616,54.28692657801015,55.114330120444755,23.836339356574314,pomegranate
85.10889900905941,85.939674525045,174.47914879808647,6.598437977280327,0.7035677447360927,0.17318746172945962,14.727845841586394,128.5641354693958,83.37942735842952,33.820170532335666,74.3885438909449,mango
127.17458409159701,53.73857284490161,82.49349289343111,4.539506216644863,1.6185775853078561,0.08437779620287439,26.958479534745447,34.93731203064909,285.7097076671536,34.294159499504566,12.376244476526093,potato
47.93413712384094,36.57580680854077,63.17214062009968,5.285998761151605,1.769444601573208,0.08040044733689936,22.599157153278657,41.97025882531795,168.2263002413298,37.69455973906921,16.347701878685527,potato
130.65787993084916,51.346287669049374,162.39940073354467,7.696399651597887,0.2701134538373309,0.16872952397703841,8.702158844559367,78.47857245367624,66.01428164580074,47.119925940285235,49.31913866484773,pomegranate
118.82270622431449,38.285416241729685,63.77532101264985,6.929991531312718,0.21816893576083105,0.17665085333821554,13.838891516141874,54.26292760882773,74.67501927582258,40.615221024372005,49.51686209172831,grapes
118.89518975139345,47.25133954771936,65.6129670670732,6.1435396135361655,0.8481232927962039,0.1628444921950042,10.210871810079023,140.26115499296014,122.32332222892049,30.98580988668779,25.38393706253107,mango
146.86994962103057,67.07637324276432,175.9352460368717,7.696650888096644,0.5438130652915961,0.2539716149518201,7.874926031890776,85.07718883587557,35.6369856599342,53.928109253345326,48.7945483856573,pomegranate
153.64077466137965,41.04829337502779,223.24783438217378,6.414555791698584,0.28817608025937513,0.18276645209223638,14.711598618389127,116.86947745279143,26.096114635604827,44.1740257891649,39.12646824271343,pomegranate
124.58132545375909,73.8086805906808,130.10803686920198,4.901956604743329,1.1545608064816906,0.15657518406797596,12.771958951237174,130.48677144410345,101.3913389610713,51.3500700148749,81.99413104367135,mango
